msg,msg_time,reply,reply_time
"hello
",2023-11-05 13:28:26,Enjoy :D,2023-11-05 13:28:26
Who is director of movie Gajni?,2023-11-05 13:28:45,I think it is A. R. Murugadoss.,2023-11-05 13:28:47
Who is the director of Star Wars: Episode VI - Return of the Jedi? ,2023-11-05 13:30:03,I think it is Richard Marquand.,2023-11-05 13:30:03
Who is the screenwriter of The Masked Gang: Cyprus?,2023-11-05 13:30:11,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-05 13:30:12
"When was ""The Godfather"" released? ",2023-11-05 13:30:22,I think it is 1972-03-15.,2023-11-05 13:30:22
"
Given that I like The Lion King, Pocahontas, and The Beauty and the Beast, can you recommend some movies? ",2023-11-05 13:30:35,"According to embeddings, your answers are The Lion King, film, Directory of World Cinema: East Europe",2023-11-05 13:30:35
"
Who is the director of Star Wars: Episode VI - Return of the Jedi?",2023-11-06 10:13:41,I think it is Richard Marquand.,2023-11-06 10:13:43
"Who is the screenwriter of The Masked Gang: Cyprus? 

",2023-11-06 10:13:52,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-06 10:13:52
"When was ""The Godfather"" released? 

",2023-11-06 10:13:58,I think it is 1972-03-15.,2023-11-06 10:13:58
This was the test from Kaden,2023-11-06 10:16:27,Hmmmmm! I am not sure what you mean. Can you rephrase it or ask another question?,2023-11-06 10:16:27
Who directed Captain America: Civil War?,2023-11-06 10:22:41,"I think it's  Anthony Russo, Joe Russo",2023-11-06 10:22:41
Who directed Captain America: Civil War?,2023-11-06 10:22:43,"I think it's  Anthony Russo, Joe Russo",2023-11-06 10:22:43
Who directed Captain America: Civil War?,2023-11-06 10:22:46,"I think it's  Anthony Russo, Joe Russo",2023-11-06 10:22:46
Who is the director of Forrest Gump?,2023-11-06 10:23:28,I think it is Robert Zemeckis.,2023-11-06 10:23:28
"Who directed the movie Apocalypse Now ?
",2023-11-06 10:23:34,"According to embeddings, your answers are Apocalypse, wooden roller coaster, Christian fiction",2023-11-06 10:23:35
Who is the director of Star Wars: Episode VI - Return of the Jedi? ,2023-11-06 10:24:04,I think it is Richard Marquand.,2023-11-06 10:24:04
Who is the screenwriter of The Masked Gang: Cyprus? ,2023-11-06 10:24:15,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-06 10:24:15
"When was ""The Godfather"" released? ",2023-11-06 10:24:25,I think it is 1972-03-15.,2023-11-06 10:24:26
Who is the director of Star Wars: Episode VI - Return of the Jedi?,2023-11-06 10:24:26,I think it is Richard Marquand.,2023-11-06 10:24:26
Who is the screenwriter of The Masked Gang: Cyprus?,2023-11-06 10:24:38,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-06 10:24:39
When was the Godfather released?,2023-11-06 10:25:06,I think it is 1972-03-15.,2023-11-06 10:25:06
Who directed Titanic?,2023-11-06 10:25:21,I think it is James Cameron.,2023-11-06 10:25:21
Who is the director of Good Will Hunting? ,2023-11-06 10:25:35,I think it is Gus Van Sant.,2023-11-06 10:25:35
When was Titanic released?,2023-11-06 10:25:42,I think it is 1997-11-01.,2023-11-06 10:25:42
Who directed The Bridge on the River Kwai? ,2023-11-06 10:25:44,I think it is David Lean.,2023-11-06 10:25:44
who directed the movie before sunrise?,2023-11-06 10:25:48,I think it is Richard Linklater.,2023-11-06 10:25:49
Who is the director of Star Wars: Episode VI - Return of the Jedi? ,2023-11-06 10:25:55,I think it is Richard Marquand.,2023-11-06 10:25:55
Hi,2023-11-06 10:26:14,I hope you are having a nice day :),2023-11-06 10:26:14
Who is the screenwiter of Inception?,2023-11-06 10:26:20,"According to embeddings, your answers are Gene Roddenberry, Paul Baxley, Jack B. Sowards",2023-11-06 10:26:20
Is Christopher Nolan the director of Inception?,2023-11-06 10:27:02,"According to embeddings, your answers are Christopher Nolan, Jonathan Nolan, Bill Finger",2023-11-06 10:27:02
"good bot you answered everything !
",2023-11-06 10:27:18,Hmmmmm! I am not sure what you mean. Can you rephrase it or ask another question?,2023-11-06 10:27:19
Is Titanic released in 2008?,2023-11-06 10:27:27,I think it is 1997-11-01.,2023-11-06 10:27:27
who acted in godfather,2023-11-06 10:28:40,"Honestly, I don't know this. :P",2023-11-06 10:28:40
Was the Dark Knight Released by Christopher Nolan?,2023-11-06 10:28:40,I think it is 2008-07-18.,2023-11-06 10:28:40
what was the rating of the godfather,2023-11-06 10:29:01,"According to embeddings, your answers are FPB rating category, 16, PG",2023-11-06 10:29:01
What is the genre of Good Neighbors? ,2023-11-06 10:36:22,"I think it's  art film, comedy-drama",2023-11-06 10:36:22
What is the MPAA film rating of Weathering with You? ,2023-11-06 10:38:28,"According to embeddings, your answers are R, PG-13, NC-17",2023-11-06 10:38:28
What is the genre of bad Neighbors? ,2023-11-06 10:40:15,I think it is comedy film.,2023-11-06 10:40:15
"Who is the director of Good Will Hunting? 
",2023-11-06 10:40:36,I think it is Gus Van Sant.,2023-11-06 10:40:36
"Who directed The Bridge on the River Kwai? 
",2023-11-06 10:40:53,I think it is David Lean.,2023-11-06 10:40:53
"Who is the director of Star Wars: Episode VI - Return of the Jedi?
",2023-11-06 10:41:11,I think it is Richard Marquand.,2023-11-06 10:41:12
Who is the director of Apocalypse Now? ,2023-11-06 10:45:57,I think it is Francis Ford Coppola.,2023-11-06 10:45:57
Who is the director of Apocalypse Now? ,2023-11-06 10:46:05,I think it is Francis Ford Coppola.,2023-11-06 10:46:05
Who is the director of The Ascent?,2023-11-06 10:46:20,I think it is Larisa Shepitko.,2023-11-06 10:46:20
Who is the director of The Ascent?,2023-11-06 10:46:37,I think it is Larisa Shepitko.,2023-11-06 10:46:37
Who is the screenwriter of The Avengers?,2023-11-06 10:47:00,"I think it's  Zak Penn, Joss Whedon",2023-11-06 10:47:00
Who is the director of The Ascent?,2023-11-06 10:47:06,I think it is Larisa Shepitko.,2023-11-06 10:47:06
Who is the director of Apocalypse Now?,2023-11-06 10:47:22,I think it is Francis Ford Coppola.,2023-11-06 10:47:22
When was Frankenweenie released?,2023-11-06 10:47:39,I think it is 1984-12-14.,2023-11-06 10:47:39
What is the genre of Good Neighbors? ,2023-11-06 10:47:44,"I think it's  art film, comedy-drama",2023-11-06 10:47:44
Which movies did Tim Burton direct?,2023-11-06 10:47:59,"According to embeddings, your answers are Tim Burton, Bob Kane, Sam Hamm",2023-11-06 10:47:59
What is the MPAA film rating of Weathering with You? ,2023-11-06 10:48:07,"According to embeddings, your answers are R, PG-13, NC-17",2023-11-06 10:48:08
Do you know the genre of Shoplifters?,2023-11-06 10:48:16,I think it is drama.,2023-11-06 10:48:16
Which movies did Leonardo di Caprio play in?,2023-11-06 10:48:47,I don't have an answer for this. Can I help you with something else?,2023-11-06 10:48:48
What's the genre of star trek?,2023-11-06 10:48:54,"I think it's  action film, adventure film, science fiction film",2023-11-06 10:48:55
Who directed The Bridge on the River Kwai? ,2023-11-06 10:49:14,I think it is David Lean.,2023-11-06 10:49:14
Which actors played in Inception?,2023-11-06 10:49:14,"According to embeddings, your answers are Gene Roddenberry, Jerome Bixby, Walter Koenig",2023-11-06 10:49:14
When was the godfather released?,2023-11-06 10:49:43,I think it is 1972-03-15.,2023-11-06 10:49:43
When was the godfather released?,2023-11-06 10:50:02,I think it is 1972-03-15.,2023-11-06 10:50:02
Who is the screenwriter of The Masked Gang: Cyprus?,2023-11-06 10:50:04,"According to embeddings, your answers are Cengiz Küçükayvaz, Murat Aslan, Melih Ekener",2023-11-06 10:50:04
What is the release date of Inception,2023-11-06 10:50:23,"According to embeddings, your answers are Inception, The Rift, The Undiscovered Country",2023-11-06 10:50:23
What is the genre of Inception,2023-11-06 10:50:38,"According to embeddings, your answers are Inception, drama, novel",2023-11-06 10:50:38
Who directed The Bridge on the River Kwai?,2023-11-06 10:51:09,I think it is David Lean.,2023-11-06 10:51:09
Who played in Fight Club?,2023-11-06 10:51:20,I don't have an answer for this. Can I help you with something else?,2023-11-06 10:51:20
Who directed the marked gang — cyprus?,2023-11-06 10:51:39,I think it is Murat Aslan.,2023-11-06 10:51:39
What's your favourite movie?,2023-11-06 10:51:41,Umm! I don't think I understand that! Can I help you in some other way?,2023-11-06 10:51:41
What is the genre of Lord of the Rings? ,2023-11-06 10:51:58,"I think it's  drama, survival film, dystopian film, adventure film, film based on a novel",2023-11-06 10:51:58
Who wrote the marked gang — cyprus?,2023-11-06 10:52:00,"Honestly, I don't know this. :P",2023-11-06 10:52:01
"Who is the director of ""Star wars: Episode VI - return of the Jedi""?",2023-11-06 10:52:30,I think it is Richard Marquand.,2023-11-06 10:52:30
